idx,wn_id,labels,parent_wn_id,parent_labels,children_wn_ids,children_labels,depth,description,class_id,simplified,keras,coarse-grained
1705,n07708798,['legume'],n07707451,"['vegetable', 'veggie', 'veg']","['n07724943', 'n07726672', 'n07726095', 'n07725255', 'n07725376', 'n07709046']","[['bean', 'edible_bean'], ['black-eyed_pea', 'cowpea'], ['chickpea', 'garbanzo'], ['lentil'], ['pea'], ['pulse']]",7,the seedpod of a leguminous plant (such as peas or beans or lentils),-1,,,
1706,n07769102,"['Barbados_gooseberry', 'blade_apple']",n07705931,['edible_fruit'],[],[],7,small yellow to orange fruit of the Barbados gooseberry cactus used in desserts and preserves and jellies,-1,,,
1707,n03623073,['kneeler'],n02856463,['board'],[],[],7,a board (sometimes cushioned) for someone to kneel on,-1,,,
1708,n02851099,"['blind', 'screen']",n04014297,"['protective_covering', 'protective_cover', 'protection']","['n03151077', 'n04211356', 'n04589190', 'n04593629']","[['curtain', 'drape', 'drapery', 'mantle', 'pall'], ['shutter'], ['window_blind'], ['winker', 'blinker', 'blinder']]",7,a protective covering that keeps things out or hinders sight,-1,,,
1709,n02807523,['bath_oil'],n04447443,"['toiletry', 'toilet_articles']",[],[],7,a scented oil added to your bath water,-1,,,
1710,n04369282,"['swatter', 'flyswatter', 'flyswat']",n03563967,['implement'],[],[],7,an implement with a flat part (of mesh or plastic) and a long handle; used to kill insects,-1,,,
1711,n03232417,['drainage_system'],n04377057,['system'],[],[],7,a system of watercourses or drains for carrying off excess water,-1,,,
1712,n01318894,['pet'],n00015388,"['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna']",[],[],7,a domesticated animal kept for companionship or amusement,-1,,,
1713,n04271148,"['spear', 'gig', 'fizgig', 'fishgig', 'lance']",n03563967,['implement'],"['n03495671', 'n03655589']","[['harpoon'], ['leister']]",7,an implement with a shaft and barbed point used for catching fish,-1,,,
1714,n03887330,['paper_feed'],n03183080,['device'],[],[],7,a device for inserting sheets of paper into a printer or typewriter,-1,,,
1715,n12985420,"['truffle', 'earthnut', 'earth-ball']",n12992868,['fungus'],[],[],7,any of various highly prized edible subterranean fungi of the genus Tuber; grow naturally in southwestern Europe,-1,,,
1716,n03302938,"['exhaust', 'exhaust_system']",n04377057,['system'],[],[],7,system consisting of the parts of an engine through which burned gases or steam are discharged,-1,,,
1717,n04343740,['student_union'],n02913152,"['building', 'edifice']",[],[],7,a building on a college campus dedicated to social and organizational activities of the student body,-1,,,
1718,n07920663,['instant_coffee'],n07929519,"['coffee', 'java']",[],[],7,dehydrated coffee that can be made into a drink by adding hot water,-1,,,
1719,n03069752,['college'],n02914991,"['building_complex', 'complex']",[],[],7,a complex of buildings in which an institution of higher education is housed,-1,,,
1720,n03302790,['exercise_device'],n03183080,['device'],"['n03302671', 'n04477387']","[['exercise_bike', 'exercycle'], ['treadmill']]",7,a device designed to provide exercise for the user,-1,,,
1721,n02949542,"['canister', 'cannister', 'tin']",n03094503,['container'],[],[],7,metal container for storing dry foods such as tea or flour,-1,,,
1722,n04199027,['shoe'],n03380867,"['footwear', 'footgear']","['n02713364', 'n02767147', 'n02783708', 'n02855701', 'n02882894', 'n02904927', 'n02938218', 'n03025250', 'n03027625', 'n03041449', 'n03090710', 'n03364156', 'n03411079', 'n03436290', 'n03472535', 'n03680355', 'n03776877', 'n03868406', 'n04022332', 'n04120489', 'n04122578', 'n04133789', 'n04239786', 'n04545748', 'n04546081', 'n04570118', 'n04593524']","[['anklet'], ['baby_shoe'], ['balmoral'], ['blucher'], ['bowling_shoe'], ['brogan', 'brogue', 'clodhopper', 'work_shoe'], ['calceus'], ['chopine', 'platform'], ['chukka', 'chukka_boot'], ['cleats'], ['congress_boot', 'congress_shoe', 'congress_gaiter'], ['flipper', 'fin'], ['gaiter'], ['ghillie', 'gillie'], ['gym_shoe', 'sneaker', 'tennis_shoe'], ['Loafer'], ['moccasin', 'mocassin'], ['oxford'], ['pump'], ['running_shoe'], ['sabot', 'wooden_shoe'], ['sandal'], ['slingback', 'sling'], ['walker'], ['walking_shoe'], ['wedgie'], ['wing_tip']]",7,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,-1,,,
1723,n12964920,"['Dutch_elm_fungus', 'Ceratostomella_ulmi']",n12992868,['fungus'],[],[],7,fungus causing Dutch elm disease,-1,,,
1724,n03770316,['ministry'],n02913152,"['building', 'edifice']",[],[],7,building where the business of a government department is transacted,-1,,,
1725,n07867324,['fish_and_chips'],n07557434,['dish'],[],[],7,fried fish and french-fried potatoes,-1,,,
1726,n03473704,"['haberdashery', ""men's_furnishings""]",n03252064,"['drygoods', 'soft_goods']",[],[],7,the drygoods sold by a haberdasher,-1,,,
1727,n02726681,"['apartment_building', 'apartment_house']",n02913152,"['building', 'edifice']","['n04409384', 'n04546481']","[['tenement', 'tenement_house'], ['walk-up']]",7,a building that is divided into apartments,-1,,,
1728,n07877849,['pepper_steak'],n07557434,['dish'],[],[],7,strips of steak sauteed with green peppers and onions,-1,,,
1729,n03717622,['manhole_cover'],n04453910,"['top', 'cover']",[],[],7,a flush iron cover for a manhole (as in a street),640,manhole cover,manhole cover,outdoor scene
1730,n03345837,"['fire_extinguisher', 'extinguisher', 'asphyxiator']",n03183080,['device'],[],[],7,a manually operated device for extinguishing small fires,-1,,,
1731,n02757462,"['audio_system', 'sound_system']",n03278248,['electronic_equipment'],"['n04064213', 'n04077430']","[['recording_system'], ['reproducer']]",7,a system of electronic equipment for recording or reproducing sound,-1,,,
1732,n04474466,['trap'],n03183080,['device'],"['n03374570', 'n03680858', 'n03719826', 'n03794056', 'n03819994', 'n03949663', 'n03993878', 'n04056413', 'n04248851', 'n04311873', 'n04568557']","[['flytrap'], ['lobster_pot'], ['mantrap'], ['mousetrap'], ['net'], ['pit', 'pitfall'], ['pound_net'], ['rattrap'], ['snare', 'gin', 'noose'], ['steel_trap'], ['web', 'entanglement']]",7,a device in which something (usually an animal) can be caught and penned,-1,,,
1733,n04074185,['reliquary'],n03094503,['container'],[],[],7,a container where religious relics are stored or displayed (especially relics of saints),-1,,,
1734,n03788703,"['mothball', 'camphor_ball']",n13899404,"['ball', 'globe', 'orb']",[],[],7,a small sphere of camphor or naphthalene used to keep moths away from stored clothing,-1,,,
1735,n07768590,['plumcot'],n07705931,['edible_fruit'],[],[],7,hybrid between plum and apricot,-1,,,
1736,n02892201,"['brass', 'memorial_tablet', 'plaque']",n03743902,"['memorial', 'monument']",[],[],7,a memorial made of brass,458,brass,brass,decor
1737,n04207151,['shoulder'],n03050026,['cloth_covering'],[],[],7,the part of a garment that covers or fits over the shoulder,-1,,,
1738,n03098959,['control_tower'],n04460130,['tower'],[],[],7,a tower with an elevated workspace enclosed in glass for the visual observation of aircraft around an airport,-1,,,
1739,n03884926,['pantheon'],n03743902,"['memorial', 'monument']",[],[],7,a monument commemorating a nation's dead heroes,-1,,,
1740,n03641947,"['lap', 'lap_covering']",n03050026,['cloth_covering'],[],[],7,the part of a piece of clothing that covers the thighs,-1,,,
1741,n12979316,"['potato_wart_fungus', 'Synchytrium_endobioticum']",n12992868,['fungus'],[],[],7,fungus causing potato wart disease in potato tubers,-1,,,
1742,n02905152,['broken_arch'],n02733524,['arch'],[],[],7,an arch with a gap at the apex; the gap is usually filled with some decoration,-1,,,
1743,n07722217,['onion'],n07707451,"['vegetable', 'veggie', 'veg']","['n07722390', 'n07722485', 'n07723177', 'n07722763', 'n07722666']","[['Bermuda_onion'], ['green_onion', 'spring_onion', 'scallion'], ['shallot'], ['Spanish_onion'], ['Vidalia_onion']]",7,an aromatic flavorful vegetable,-1,,,
1744,n02801938,"['basket', 'handbasket']",n03094503,['container'],"['n02893608', 'n02925009', 'n03129848', 'n03390673', 'n03482405', 'n04024862', 'n04204238', 'n04227050', 'n04582349']","[['breadbasket'], ['bushel_basket'], ['creel'], ['frail'], ['hamper'], ['punnet'], ['shopping_basket'], ['skep'], ['wicker_basket']]",7,a container that is usually woven and has handles,-1,,,
1745,n01383896,['phytoplankton'],n00017222,"['plant', 'flora', 'plant_life']","['n01401106', 'n01384084']","[['diatom'], ['planktonic_algae']]",7,photosynthetic or plant constituent of plankton; mainly unicellular algae,-1,,,
1746,n03597469,"['jewelry', 'jewellery']",n02681518,['adornment'],"['n02815071', 'n02837702', 'n02852043', 'n02887970', 'n03044166', 'n03146075', 'n03262349', 'n03596787', 'n03814906', 'n03940713', 'n04092609', 'n04433800']","[['bead'], ['bijou'], ['bling', 'bling_bling'], ['bracelet', 'bangle'], ['clip'], ['cufflink'], ['earring'], ['jewel', 'gem', 'precious_stone'], ['necklace'], ['pin'], ['ring', 'band'], ['tie_clip']]",7,an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems),-1,,,
1747,n03709644,['mail'],n03100490,"['conveyance', 'transport']",[],[],7,a conveyance that transports the letters and packages that are conveyed by the postal system,-1,,,
1748,n07765073,['date'],n07705931,['edible_fruit'],[],[],7,sweet edible fruit of the date palm with a single long woody seed,-1,,,
1749,n13081229,"['green_smut_fungus', 'Ustilaginoidea_virens']",n12992868,['fungus'],[],[],7,fungus causing green smut in rice,-1,,,
1750,n11686912,['sporophyte'],n00017222,"['plant', 'flora', 'plant_life']",[],[],7,the spore-producing individual or phase in the life cycle of a plant having alternation of generations,-1,,,
1751,n07863107,['Boston_baked_beans'],n07557434,['dish'],[],[],7,dried navy beans baked slowly with molasses and salt pork,-1,,,
1752,n11552976,['biennial'],n00017222,"['plant', 'flora', 'plant_life']",[],[],7,(botany) a plant having a life cycle that normally takes two seasons from germination to death to complete; flowering biennials usually bloom and fruit in the second season,-1,,,
1753,n04395875,"['tavern', 'tap_house']",n02913152,"['building', 'edifice']","['n02823586', 'n02910241', 'n04018399', 'n04055700', 'n07888378']","[['beer_garden'], ['bucket_shop'], ['public_house', 'pub', 'saloon', 'pothouse', 'gin_mill', 'taphouse'], ['rathskeller'], ['shebeen']]",7,a building with a bar that is licensed to sell alcoholic drinks,-1,,,
1754,n03460297,['grindstone'],n04185071,['sharpener'],[],[],7,a revolving stone shaped like a disk; used to grind or sharpen or polish edge tools,-1,,,
1755,n02669885,['academy'],n03297735,['establishment'],[],[],7,a learned establishment for the advancement of knowledge,-1,,,
1756,n03579791,"['interlock', 'ignition_interlock']",n03183080,['device'],[],[],7,a device that prevents an automotive engine from starting,-1,,,
1757,n02683558,['afterburner'],n03183080,['device'],[],[],7,a device injects fuel into a hot exhaust for extra thrust,-1,,,
1758,n02851384,['blind'],n04151940,"['screen', 'cover', 'covert', 'concealment']",[],[],7,a hiding place sometimes used by hunters (especially duck hunters),-1,,,
1759,n07764315,"['sapodilla', 'sapodilla_plum', 'sapota']",n07705931,['edible_fruit'],[],[],7,tropical fruit with a rough brownish skin and very sweet brownish pulp,-1,,,
1760,n04227787,['skew_arch'],n02733524,['arch'],[],[],7,an arch whose jambs are not at right angles with the face,-1,,,
1761,n02730568,"['appointment', 'fitting']",n03405265,['furnishing'],[],[],7,(usually plural) furnishings and equipment (especially for a ship or hotel),-1,,,
1762,n07713267,"['pieplant', 'rhubarb']",n07707451,"['vegetable', 'veggie', 'veg']",[],[],7,long pinkish sour leafstalks usually eaten cooked and sweetened,-1,,,
1763,n03269401,['electrical_device'],n03183080,['device'],"['n02715229', 'n02755675', 'n02779971', 'n02810471', 'n02839758', 'n02908605', 'n02955247', 'n02991048', 'n03033362', 'n03098140', 'n03213014', 'n03275451', 'n03280394', 'n03340009', 'n03358841', 'n03407369', 'n03569014', 'n03589513', 'n03680248', 'n03968293', 'n03998673', 'n04057846', 'n04065632', 'n04072960', 'n04079933', 'n04165945', 'n04168199', 'n04257790', 'n04268275', 'n04269270', 'n04361641', 'n04470953', 'n04471315', 'n04473275', 'n04614083']","[['antenna', 'aerial', 'transmitting_aerial'], ['attenuator'], ['ballast', 'light_ballast'], ['battery', 'electric_battery'], ['bimetallic_strip'], ['brush'], ['capacitor', 'capacitance', 'condenser', 'electrical_condenser'], ['cell', 'electric_cell'], ['circuit', 'electrical_circuit', 'electric_circuit'], ['control_panel', 'instrument_panel', 'control_board', 'board', 'panel'], ['distributor', 'distributer', 'electrical_distributor'], ['electrograph'], ['electrostatic_generator', 'electrostatic_machine', 'Wimshurst_machine', 'Van_de_Graaff_generator'], ['filter'], ['flasher'], ['fuse', 'electrical_fuse', 'safety_fuse'], ['inductor', 'inductance'], ['jack'], ['load'], ['plug', 'male_plug'], ['precipitator', 'electrostatic_precipitator', 'Cottrell_precipitator'], ['reactor'], ['rectifier'], ['relay', 'electrical_relay'], ['resistor', 'resistance'], ['security_system', 'security_measure', 'security'], ['Segway', 'Segway_Human_Transporter', 'Segway_HT'], ['solar_array', 'solar_battery', 'solar_panel'], ['spark_arrester'], ['spark_plug', 'sparking_plug', 'plug'], ['suppressor', 'suppresser'], ['transducer'], ['transformer'], ['transponder'], ['zapper']]",7,a device that produces or is powered by electricity,-1,,,
1764,n04103918,['roll-on_roll-off'],n03100490,"['conveyance', 'transport']",[],[],7,a method of transport (as a ferry or train or plane) that vehicles roll onto at the beginning and roll off of at the destination,-1,,,
1765,n07766891,['medlar'],n07705931,['edible_fruit'],[],[],7,crabapple-like fruit used for preserves,-1,,,
1766,n03541537,"['hostel', 'youth_hostel', 'student_lodging']",n03546340,"['housing', 'lodging', 'living_accommodations']",[],[],7,inexpensive supervised lodging (especially for youths on bicycling trips),-1,,,
1767,n03738472,['mechanism'],n03183080,['device'],"['n02677718', 'n02678384', 'n02761392', 'n02764614', 'n02969010', 'n02972533', 'n02972714', 'n03047171', 'n03096960', 'n03102859', 'n03172738', 'n03242995', 'n03243625', 'n03317990', 'n03339529', 'n03431243', 'n03530041', 'n03551790', 'n03560567', 'n03683341', 'n03736970', 'n04040759', 'n04110955', 'n04312916', 'n04313220', 'n04392764', 'n04578708', 'n04602840']","[['action', 'action_mechanism'], ['actuator'], ['automaton', 'robot', 'golem'], ['axis', 'axis_of_rotation'], ['carriage'], ['cartridge_ejector', 'ejector'], ['cartridge_extractor', 'cartridge_remover', 'extractor'], ['clockwork'], ['control', 'controller'], ['cooling_system', 'cooling'], ['delayed_action'], ['drive'], ['drive_line', 'drive_line_system'], ['fail-safe'], ['film_advance'], ['gear', 'gear_mechanism'], ['homing_device'], ['hydraulic_system'], ['ignition', 'ignition_system'], ['lock'], ['mechanical_device'], ['radiator'], ['rotating_mechanism'], ['steering_linkage'], ['steering_system', 'steering_mechanism'], ['tape_drive', 'tape_transport', 'transport'], ['whirler'], ['works', 'workings']]",7,device consisting of a piece of machinery; has moving parts that perform some function,-1,,,
1768,n07865196,['chop_suey'],n07557434,['dish'],[],[],7,"meat or fish stir-fried with vegetables (e.g., celery, onions, peppers or bean sprouts) seasoned with ginger and garlic and soy sauce; served with rice; created in the United States and frequently served in Chinese restaurants there",-1,,,
1769,n07579688,['piece_de_resistance'],n07557434,['dish'],[],[],7,the most important dish of a meal,-1,,,
1770,n04467307,['trailer'],n03100490,"['conveyance', 'transport']","['n02962414', 'n04172342']","[['car_carrier'], ['semitrailer', 'semi']]",7,a large transport conveyance designed to be pulled by a truck or tractor,-1,,,
1771,n03958752,['plastic_wrap'],n04605726,"['wrapping', 'wrap', 'wrapper']","['n02992368', 'n04135710']","[['cellophane'], ['cling_film', 'clingfilm', 'Saran_Wrap']]",7,wrapping consisting of a very thin transparent sheet of plastic,-1,,,
1772,n07723039,['leek'],n07707451,"['vegetable', 'veggie', 'veg']",[],[],7,related to onions; white cylindrical bulb and flat dark-green leaves,-1,,,
1773,n02152881,"['prey', 'quarry']",n00015388,"['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna']",[],[],7,animal hunted or caught for food,-1,,,
1774,n02948403,['candlesnuffer'],n03563967,['implement'],[],[],7,an implement with a small cup at the end of a handle; used to extinguish the flame of a candle,-1,,,
1775,n04526964,['ventilator'],n03183080,['device'],[],[],7,a device (such as a fan) that introduces fresh air or expels foul air,-1,,,
1776,n03862379,['outwork'],n03171356,"['defensive_structure', 'defense', 'defence']",[],[],7,subsidiary defensive structure lying outside the main fortified area,-1,,,
1777,n07877675,"['steak_tartare', 'tartar_steak', 'cannibal_mound']",n07557434,['dish'],[],[],7,ground beef mixed with raw egg and e.g. onions and capers and anchovies; eaten raw,-1,,,
1778,n07764155,['mango'],n07705931,['edible_fruit'],[],[],7,"large oval tropical fruit having smooth skin, juicy aromatic pulp, and a large hairy seed",-1,,,
1779,n10086568,['fielder'],n09835506,"['ballplayer', 'baseball_player']","['n10205457', 'n10386984']","[['infielder'], ['outfielder']]",7,a member of the baseball team that is in the field instead of at bat,-1,,,
1780,n04081699,['rest_house'],n02913152,"['building', 'edifice']",[],[],7,a building used for shelter by travelers (especially in areas where there are no hotels),-1,,,
1781,n06255613,['paper'],n06254669,['medium'],[],[],7,a medium for written communication,-1,,,
1782,n07817871,"['fennel', 'Florence_fennel', 'finocchio']",n07707451,"['vegetable', 'veggie', 'veg']",[],[],7,aromatic bulbous stem base eaten cooked or raw in salads,-1,,,
1783,n03815482,['neckpiece'],n03051540,"['clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment']","['n03068998', 'n03406759']","[['collar'], ['fur-piece']]",7,an article of apparel worn about the neck,-1,,,
1784,n03455488,"['gravestone', 'headstone', 'tombstone']",n03743902,"['memorial', 'monument']",[],[],7,a stone that is used to mark a grave,-1,,,
1785,n02843553,"['bird_feeder', 'birdfeeder', 'feeder']",n03183080,['device'],[],[],7,an outdoor device that supplies food for wild birds,-1,,,
1786,n04386456,['take-up'],n03183080,['device'],[],[],7,any of various devices for reducing slack (as in a sewing machine) or taking up motion (as in a loom),-1,,,
1787,n03221059,"['domino', 'half_mask', 'eye_mask']",n03724870,['mask'],[],[],7,a mask covering the upper part of the face but with holes for the eyes,-1,,,
1788,n04252331,['snowshoe'],n03183080,['device'],[],[],7,a device to help you walk on deep snow; a lightweight frame shaped like a racquet is strengthened with cross pieces and contains a network of thongs; one is worn on each foot,-1,,,
1789,n06874837,['yellow_light'],n06874185,"['traffic_light', 'traffic_signal', 'stoplight']",[],[],7,the signal to proceed with caution,-1,,,
1790,n07885705,['proof_spirit'],n07884567,"['alcohol', 'alcoholic_drink', 'alcoholic_beverage', 'intoxicant', 'inebriant']",[],[],7,a mixture containing half alcohol by volume at 60 degrees Fahrenheit,-1,,,
1791,n04137444,"['satellite', 'artificial_satellite', 'orbiter']",n03294048,['equipment'],"['n02751490', 'n03077741', 'n04266162', 'n04264914', 'n04290615', 'n04290762', 'n04567593']","[['astronomy_satellite'], ['communications_satellite'], ['space_station', 'space_platform', 'space_laboratory'], ['spacecraft', 'ballistic_capsule', 'space_vehicle'], ['sputnik'], ['spy_satellite'], ['weather_satellite', 'meteorological_satellite']]",7,man-made equipment that orbits around the earth or the moon,-1,,,
1792,n04200908,['shoetree'],n03183080,['device'],[],[],7,a wooden or metal device that is inserted into a shoe to preserve its shape when it is not being worn,-1,,,
1793,n07753448,"['anchovy_pear', 'river_pear']",n07705931,['edible_fruit'],[],[],7,West Indian fruit resembling the mango; often pickled,-1,,,
1794,n03399579,"['frontlet', 'frontal']",n02681518,['adornment'],[],[],7,an adornment worn on the forehead,-1,,,
1795,n06271778,"['telecommunication', 'telecom']",n06254669,['medium'],"['n06276697', 'n06277025', 'n06274921', 'n06272290', 'n06275353']","[['broadcasting'], ['multiplex'], ['telegraphy'], ['telephone', 'telephony'], ['wireless']]",7,(often plural) systems used in transmitting messages over a distance electronically,-1,,,
1796,n03024064,['choir'],n02735688,['area'],[],[],7,the area occupied by singers; the part of the chancel between sanctuary and nave,-1,,,
1797,n04063373,"['recorder', 'recording_equipment', 'recording_machine']",n03294048,['equipment'],"['n02846733', 'n02979290', 'n03079494', 'n03707597', 'n03798442', 'n03857687']","[['black_box'], ['cassette_recorder'], ['compact-disk_burner', 'CD_burner'], ['magnetic_recorder'], ['multichannel_recorder'], ['oscillograph']]",7,equipment for making records,-1,,,
1798,n07876775,['Scotch_woodcock'],n07557434,['dish'],[],[],7,creamy scrambled eggs on toast spread with anchovy paste,-1,,,
1799,n01317541,"['domestic_animal', 'domesticated_animal']",n00015388,"['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna']","['n02084071', 'n02121808', 'n01317813', 'n01318381', 'n01318053', 'n02122580']","[['dog', 'domestic_dog', 'Canis_familiaris'], ['domestic_cat', 'house_cat', 'Felis_domesticus', 'Felis_catus'], ['feeder'], ['head'], ['stocker'], ['stray']]",7,any of various animals that have been tamed and made fit for a human environment,-1,,,
1800,n04191943,['shelter'],n04014297,"['protective_covering', 'protective_cover', 'protection']","['n02825657', 'n02843684', 'n02951843', 'n03114634', 'n03610524', 'n03652729', 'n04107984', 'n04148936', 'n04172776']","[['bell_cote', 'bell_cot'], ['birdhouse'], ['canopy'], ['cote'], ['kennel', 'doghouse', 'dog_house'], ['lean-to'], ['roost'], ['sconce'], ['sentry_box']]",7,protective covering that provides protection from the weather,-1,,,
1801,n07665438,"['veal_parmesan', 'veal_parmigiana']",n07557434,['dish'],[],[],7,sauteed veal cutlet in a breadcrumb-and-cheese coating served with tomato sauce,-1,,,
1802,n02874442,['bootjack'],n03183080,['device'],[],[],7,has V-shaped notch for pulling off boots,-1,,,
1803,n07678729,"['stuffing', 'dressing']",n07882497,"['concoction', 'mixture', 'intermixture']","['n07679140', 'n07679034', 'n07678953']","[['forcemeat', 'farce'], ['oyster_stuffing', 'oyster_dressing'], ['turkey_stuffing']]",7,a mixture of seasoned ingredients used to stuff meats and vegetables,-1,,,
1804,n03200231,['dining_area'],n02735688,['area'],[],[],7,an area arranged for dining,-1,,,
1805,n13025647,['yeast'],n12992868,['fungus'],"['n13025854', 'n13026015']","[[""baker's_yeast"", ""brewer's_yeast"", 'Saccharomyces_cerevisiae'], [""wine-maker's_yeast"", 'Saccharomyces_ellipsoides']]",7,any of various single-celled fungi that reproduce asexually by budding or division,-1,,,
1806,n07718920,['artichoke_heart'],n07707451,"['vegetable', 'veggie', 'veg']",[],[],7,the tender fleshy center of the immature artichoke flower,-1,,,
1807,n02853218,['blockade'],n03839993,"['obstruction', 'obstructor', 'obstructer', 'impediment', 'impedimenta']",[],[],7,prevents access or progress,-1,,,
1808,n03257877,"['durables', 'durable_goods', 'consumer_durables']",n03093574,['consumer_goods'],['n02729837'],[['appliance']],7,consumer goods that are not destroyed by use,-1,,,
1809,n13126428,['root_cap'],n13087625,['plant_organ'],[],[],7,thimble-shaped mass of cells covering and protecting the growing tip of a root,-1,,,
1810,n07862611,"['beef_Wellington', 'filet_de_boeuf_en_croute']",n07557434,['dish'],[],[],7,rare-roasted beef tenderloin coated with mushroom paste in puff pastry,-1,,,
1811,n01318660,"['molter', 'moulter']",n00015388,"['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna']",[],[],7,an animal (especially birds and arthropods and reptiles) that periodically shed their outer layer (feathers or cuticle or skin or hair),-1,,,
1812,n02761206,['automation'],n03294048,['equipment'],[],[],7,equipment used to achieve automatic control or operation,-1,,,
1813,n07655263,['saute'],n07557434,['dish'],[],[],7,a dish of sauteed food,-1,,,
1814,n02917964,['bullpen'],n02735688,['area'],[],[],7,a place on a baseball field where relief pitchers can warm up during a game,-1,,,
1815,n13011461,['galea'],n13087625,['plant_organ'],[],[],7,an organ shaped like a helmet; usually a vaulted and enlarged petal as in Aconitum,-1,,,
1816,n02908217,['brush'],n03563967,['implement'],"['n02877642', 'n02902687', 'n03050453', 'n03475581', 'n03805180', 'n03876231', 'n04122349', 'n04156140', 'n04185946', 'n04453156']","[['bottlebrush'], ['bristle_brush'], ['clothesbrush'], ['hairbrush'], ['nailbrush'], ['paintbrush'], ['sable', 'sable_brush', ""sable's_hair_pencil""], ['scrub_brush', 'scrubbing_brush', 'scrubber'], ['shaving_brush'], ['toothbrush']]",7,an implement that has hairs or bristles firmly set into a handle,-1,,,
1817,n07861813,['chicken_and_rice'],n07557434,['dish'],['n07862095'],[['arroz_con_pollo']],7,rice and chicken cooked together with or without other ingredients and variously seasoned,-1,,,
1818,n13123681,['rock_plant'],n00017222,"['plant', 'flora', 'plant_life']","['n13123841', 'n13124019']","[['lithophyte', 'lithophytic_plant'], ['rupestral_plant', 'rupestrine_plant', 'rupicolous_plant', 'saxicolous_plant']]",7,plant that grows on or among rocks or is suitable for a rock garden,-1,,,
1819,n04346679,['stylus'],n03183080,['device'],['n03923918'],"[['phonograph_needle', 'needle']]",7,a sharp pointed device attached to the cartridge of a record player,-1,,,
1820,n03733281,"['maze', 'labyrinth']",n04377057,['system'],[],[],7,complex system of paths or tunnels in which it is easy to get lost,646,maze,maze,outdoor scene
1821,n03243218,['drive'],n03183080,['device'],"['n02988963', 'n02988156', 'n03209666', 'n03307792', 'n03580518', 'n04050600']","[['CD-ROM_drive'], ['CD_drive'], ['disk_drive', 'disc_drive', 'hard_drive', 'Winchester_drive'], ['external_drive'], ['internal_drive'], ['RAM_disk']]",7,(computer science) a device that writes data onto or reads data from a storage medium,-1,,,
1822,n03733644,['measure'],n03094503,['container'],['n03733805'],[['measuring_cup']],7,a container of some standard capacity that is used to obtain fixed amounts of a substance,-1,,,
1823,n04554211,"['washboard', 'splashboard']",n04014297,"['protective_covering', 'protective_cover', 'protection']",[],[],7,protective covering consisting of a broad plank along a gunwale to keep water from splashing over the side,-1,,,
1824,n02786198,"['bandanna', 'bandana']",n03485794,"['handkerchief', 'hankie', 'hanky', 'hankey']",[],[],7,large and brightly colored handkerchief; often used as a neckerchief,-1,,,
1825,n03975035,['pointed_arch'],n02733524,['arch'],"['n03246197', 'n03448956', 'n03842754', 'n04478383']","[['drop_arch'], ['Gothic_arch'], ['ogee_arch', 'keel_arch'], ['trefoil_arch']]",7,an arch with a pointed apex; characteristic of Gothic architecture,-1,,,
1826,n02727825,"['apparatus', 'setup']",n03294048,['equipment'],"['n02682569', 'n02923129', 'n02974454', 'n02995998', 'n03013006', 'n03087643', 'n03257586', 'n03275566', 'n03434188', 'n03509608', 'n03512452', 'n03567066', 'n03574416', 'n03618797', 'n03667235', 'n03834040', 'n03851219', 'n03909160', 'n04026053', 'n04070003', 'n04171208', 'n04173511', 'n04255670', 'n04318982', 'n04348359', 'n04400499', 'n04441790', 'n04609651']","[['aerator'], ['burner'], ['cascade_liquefier'], ['centrifuge', 'extractor', 'separator'], ['chemical_reactor'], ['condenser'], ['duplicator', 'copier'], ['electrograph'], ['generator'], ['heat_pump'], ['heliograph'], ['incubator', 'brooder'], ['instillator'], [""Kipp's_apparatus""], ['lighting'], ['nuclear_reactor', 'reactor'], ['optical_bench'], ['pendulum'], ['purifier'], ['reformer'], ['semaphore'], ['sequencer', 'sequenator'], ['soda_fountain'], ['still'], ['submersible'], ['telegraph', 'telegraphy'], ['titrator'], ['X-ray_machine']]",7,equipment designed to serve a specific function,-1,,,
1827,n07763792,"['loquat', 'Japanese_plum']",n07705931,['edible_fruit'],[],[],7,yellow olive-sized semitropical fruit with a large free stone and relatively little flesh; used for jellies,-1,,,
1828,n03040229,['cleaning_pad'],n03039947,"['cleaning_implement', 'cleaning_device', 'cleaning_equipment']","['n04150153', 'n04254450']","[['scouring_pad'], ['soap_pad']]",7,a pad used as a cleaning implement,-1,,,
1829,n07763290,"['genip', 'Spanish_lime']",n07705931,['edible_fruit'],[],[],7,round one-inch Caribbean fruit with green leathery skin and sweet juicy translucent pulp; eaten like grapes,-1,,,
1830,n07871335,['macedoine'],n07557434,['dish'],[],[],7,mixed diced fruits or vegetables; hot or cold,-1,,,
